,DateTime,Ambient_Temperature,Ambient_Humidity,Soil_Temperature,Leaf_Wetness_Duration,Soil_Moisture_Sensor
68,2021-09-03 15:22:56,29.44582,89.43063,19.70223,0.0,12626.987
69,2021-09-03 15:24:47,29.76013,87.52688,19.75186,0.0,12626.581
70,2021-09-03 15:56:27,28.00661,96.37582,19.78495,0.0,12765.876
71,2021-09-03 16:28:07,27.89082,96.53445,19.7684,0.0,12883.457
72,2021-09-03 16:59:46,27.79156,96.27005,19.73532,0.0,12862.147
73,2021-09-03 17:31:22,27.62614,96.14666,19.28867,0.0,12792.441
74,2021-09-03 18:02:59,27.54343,95.19478,19.58644,0.0,12779.309
75,2021-09-03 18:34:36,27.46071,97.786,19.53681,0.0,12707.319
76,2021-09-03 19:06:11,27.46071,98.50873,19.40447,0.0,12810.954
77,2021-09-03 19:37:48,27.34491,98.68501,19.20595,0.0,12706.913
78,2021-09-03 20:09:23,27.1464,93.59069,19.32175,0.0,12795.131
79,2021-09-03 20:40:59,26.96443,93.00899,19.18941,0.0,12755.6
80,2021-09-03 21:12:35,26.91481,94.52494,18.97436,0.0,12755.6
81,2021-09-03 21:44:09,26.96443,94.63071,18.82548,0.0,12771.828
82,2021-09-03 22:15:44,26.96443,94.06664,19.07361,0.0,12804.285
83,2021-09-03 22:17:26,27.21257,94.01375,18.92473,0.0,12674.861
84,2021-09-03 22:49:03,26.96443,94.66597,18.9909,0.0,12936.817
85,2021-09-03 23:20:38,26.91481,95.15953,18.8751,0.0,13002.139
86,2021-09-03 23:52:13,26.79901,95.51207,18.85856,0.0,12839.338
